,fecha_opreal,hora_opreal,central_infotecnica_id,central_nombre,central_tipo,central_tipo_nemotecnico,generacion_real_mwh,generacion_real_ernc_mwh
144813,2021-04-10,12,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
145965,2021-04-10,14,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
146201,2021-04-10,3,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
147416,2021-04-10,4,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
147478,2021-04-10,15,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
148510,2021-04-10,5,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
148972,2021-04-10,17,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
150012,2021-04-10,6,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
150175,2021-04-10,18,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
151427,2021-04-10,19,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
151524,2021-04-10,7,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
152710,2021-04-10,8,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
152865,2021-04-10,20,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
153983,2021-04-10,21,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
154168,2021-04-10,9,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
155221,2021-04-10,22,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
155504,2021-04-10,10,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
156638,2021-04-10,23,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
156840,2021-04-10,11,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
157832,2021-04-10,24,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
158647,2021-04-10,13,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
158844,2021-04-10,1,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
159982,2021-04-10,16,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
160784,2021-04-11,1,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
160841,2021-04-11,2,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
161707,2021-04-11,3,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
162681,2021-04-11,4,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
162906,2021-04-11,6,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
163756,2021-04-11,5,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
164793,2021-04-11,15,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
164843,2021-04-11,7,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
165683,2021-04-11,8,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
166777,2021-04-11,9,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
167021,2021-04-11,20,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
167600,2021-04-11,10,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
168687,2021-04-11,11,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
169356,2021-04-11,12,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
170025,2021-04-11,13,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
170694,2021-04-11,14,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
171363,2021-04-11,16,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
172032,2021-04-11,17,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
172701,2021-04-11,18,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
173371,2021-04-11,19,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
174041,2021-04-11,21,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
174711,2021-04-11,22,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
175381,2021-04-11,23,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
176051,2021-04-11,24,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
176854,2021-04-12,4,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
176909,2021-04-12,1,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
178074,2021-04-12,2,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
178865,2021-04-12,3,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
179082,2021-04-12,17,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
179656,2021-04-12,5,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
180759,2021-04-12,6,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
181092,2021-04-12,10,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
181599,2021-04-12,7,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
182787,2021-04-12,8,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
183081,2021-04-12,24,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
183987,2021-04-12,9,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
184748,2021-04-12,11,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
185417,2021-04-12,12,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
186085,2021-04-12,13,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
186753,2021-04-12,14,193,HP FLORIDA III,Hidráulica,hidraulica,1.9,0.0
187421,2021-04-12,15,193,HP FLORIDA III,Hidráulica,hidraulica,1.9,0.0
188089,2021-04-12,16,193,HP FLORIDA III,Hidráulica,hidraulica,2.0,0.0
188757,2021-04-12,18,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
189426,2021-04-12,19,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
190095,2021-04-12,20,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
190764,2021-04-12,21,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
191433,2021-04-12,22,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
192102,2021-04-12,23,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
192827,2021-04-13,1,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
193019,2021-04-13,6,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
193913,2021-04-13,2,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
194708,2021-04-13,3,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
195270,2021-04-13,19,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
195816,2021-04-13,4,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
196847,2021-04-13,5,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
197038,2021-04-13,14,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
198122,2021-04-13,7,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
198791,2021-04-13,8,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
199460,2021-04-13,9,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
200129,2021-04-13,10,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
200798,2021-04-13,11,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
